n,time
1,0.038
2,0.038
3,0.039
4,0.040
5,0.037
6,0.038
7,0.042
8,0.036
9,0.043
10,0.038
11,0.038
12,0.038
13,0.037
14,0.039
15,0.039
16,0.040
17,0.036
18,0.039
19,0.038
20,0.040
21,0.038
22,0.038
23,0.040
24,0.038
25,0.039
26,0.037
27,0.037
28,0.043
29,0.045
30,0.038
31,0.038
32,0.038
33,0.037
34,0.037
35,0.037
36,0.037
37,0.042
38,0.038
39,0.035
40,0.036
41,0.045
42,0.040
43,0.037
44,0.037
45,0.038
46,0.037
47,0.041
48,0.037
49,0.034
50,0.037
51,0.038
52,0.040
53,0.037
54,0.038
55,0.037
56,0.039
57,0.038
58,0.038
59,0.039
60,0.037
61,0.042
62,0.037
63,0.038
64,0.038
65,0.036
66,0.042
67,0.039
68,0.037
69,0.039
70,0.039
71,0.037
72,0.037
73,0.037
74,0.036
75,0.040
76,0.038
77,0.037
78,0.037
79,0.035
80,0.043
81,0.037
82,0.036
83,0.037
84,0.035
85,0.040
86,0.038
87,0.034
88,0.035
89,0.036
90,0.040
91,0.035
92,0.035
93,0.035
94,0.035
95,0.040
96,0.035
97,0.036
98,0.035
99,0.038
100,0.043
101,0.039
102,0.037
103,0.038
104,0.038
105,0.040
106,0.038
107,0.035
108,0.039
109,0.042
110,0.038
111,0.040
112,0.038
113,0.038
114,0.041
115,0.036
116,0.041
117,0.042
118,0.040
119,0.038
120,0.041
121,0.040
122,0.047
123,0.043
124,0.038
125,0.047
126,0.038
127,0.040
128,0.038
129,0.036
130,0.038
131,0.038
132,0.043
133,0.038
134,0.039
135,0.038
136,0.038
137,0.041
138,0.038
139,0.037
140,0.039
141,0.036
142,0.039
143,0.037
144,0.037
145,0.037
146,0.040
147,0.039
148,0.038
149,0.038
150,0.040
151,0.042
152,0.038
153,0.037
154,0.038
155,0.039
156,0.040
157,0.040
158,0.038
159,0.037
160,0.040
161,0.040
162,0.038
163,0.047
164,0.038
165,0.043
166,0.039
167,0.038
168,0.038
169,0.041
170,0.042
171,0.040
172,0.040
173,0.050
174,0.042
175,0.038
176,0.039
177,0.039
178,0.039
179,0.041
180,0.041
181,0.039
182,0.038
183,0.045
184,0.039
185,0.039
186,0.040
187,0.040
188,0.044
189,0.039
190,0.041
191,0.039
192,0.042
193,0.041
194,0.040
195,0.044
196,0.039
197,0.042
198,0.039
199,0.045
200,0.039
201,0.047
202,0.042
203,0.041
204,0.042
205,0.040
206,0.042
207,0.041
208,0.042
209,0.043
210,0.046
211,0.040
212,0.041
213,0.041
214,0.041
215,0.041
216,0.042
217,0.041
218,0.041
219,0.043
220,0.040
221,0.041
222,0.041
223,0.043
224,0.042
225,0.041
226,0.044
227,0.043
228,0.046
229,0.041
230,0.042
231,0.042
232,0.046
233,0.042
234,0.041
235,0.040
236,0.043
237,0.043
238,0.043
239,0.043
240,0.041
241,0.047
242,0.043
243,0.044
244,0.044
245,0.048
246,0.041
247,0.043
248,0.045
249,0.041
250,0.044
251,0.047
252,0.043
253,0.042
254,0.047
255,0.044
256,0.044
257,0.043
258,0.045
259,0.044
260,0.043
261,0.043
262,0.043
263,0.043
264,0.042
265,0.041
266,0.041
267,0.045
268,0.041
269,0.042
270,0.042
271,0.046
272,0.042
273,0.040
274,0.042
275,0.044
276,0.044
277,0.044
278,0.043
279,0.044
280,0.043
281,0.041
282,0.043
283,0.044
284,0.048
285,0.042
286,0.042
287,0.041
288,0.055
289,0.043
290,0.043
291,0.042
292,0.042
293,0.045
294,0.043
295,0.044
296,0.053
297,0.045
298,0.045
299,0.047
300,0.045
301,0.049
302,0.045
303,0.045
304,0.048
305,0.047
306,0.045
307,0.045
308,0.045
309,0.048
310,0.044
311,0.046
312,0.047
313,0.050
314,0.045
315,0.045
316,0.044
317,0.047
318,0.044
319,0.043
320,0.045
321,0.047
322,0.047
323,0.046
324,0.045
325,0.045
326,0.049
327,0.045
328,0.045
329,0.050
330,0.050
331,0.048
332,0.044
333,0.045
334,0.047
335,0.047
336,0.046
337,0.046
338,0.049
339,0.048
340,0.048
341,0.046
342,0.048
343,0.051
344,0.046
